code,name,entry_date,rank_t,rank_t1,rank_t2,amount_t,amount_t1,amount_t2,prev_close,trigger_low,buy_price,buy_exec,buy_shares,buy_cost,cash_after_buy,exit_date,exit_reason,hold_days,sell_price,sell_exec,sell_proceed,cash_after_sell,gross_pnl,net_pnl,net_pnl_pct
002600,领益智造,2025-09-02,40,25,12,77.1578750963,74.68409445180001,100.366973016,15.65,14.27,14.554499999999999,14.561777249999999,600,8742.06635,75619.18003300008,2025-09-03,sell_t1_close,2,13.9,13.89305,8322.49417,74767.4538790001,-419.5721799999992,-419.5721799999992,-0.04799462314764967
000063,中兴通讯,2025-09-02,83,34,63,138.769679199,153.32547283559998,120.9479564204,48.0,44.05,44.64,44.66232,200,8937.464,66681.71603300009,2025-09-03,sell_t1_close,2,43.94,43.91803,8769.822393999999,83537.2762730001,-167.64160600000105,-167.64160600000105,-0.018757178322620492
002261,拓维信息,2025-09-02,66,70,20,74.37752269319999,78.5223138429,97.1816777649,40.92,37.51,38.0556,38.074627799999995,200,7619.925559999999,59061.790473000096,2025-09-03,sell_t1_close,2,36.33,36.311835,7250.104633,90787.3809060001,-369.82092699999885,-369.82092699999885,-0.048533404176719926
002241,歌尔股份,2025-09-02,95,82,21,82.6122914697,77.7650566329,86.02917725719999,35.53,32.76,33.042899999999996,33.059421449999995,300,9922.826434999999,49138.96403800009,2025-09-03,sell_t1_close,2,32.36,32.34382,9688.442854,100475.82376000009,-234.38358099999823,-234.38358099999823,-0.02362064705407681
000831,中国稀土,2025-09-03,64,37,43,77.6329256822,100.1650009113,101.9583386285,61.56,56.2,57.2508,57.279425399999994,100,5732.942539999999,94742.88122000008,2025-09-04,sell_drop7,2,51.84,51.814080000000004,5171.226592,99914.10781200009,-561.7159479999991,-561.7159479999991,-0.09798039036337511
601929,吉视传媒,2025-09-04,12,3,14,29.47741941,37.42759175,51.35843849,5.53,4.98,5.1429,5.14547145,1900,9781.395755,90132.71205700008,2025-09-05,sell_t1_close,2,5.45,5.447275,10334.4726775,85821.90074950008,553.0769225000004,553.0769225000004,0.05654376291004089
601138,工业富联,2025-09-04,36,31,47,180.22745305,119.03006052,150.10975666,54.24,49.93,50.4432,50.46842159999999,100,5051.842159999999,85080.86989700008,2025-09-05,sell_t1_close,2,55.83,55.802085,5569.6282915,91391.52904100009,517.7861315000009,517.7861315000009,0.1024945188509217
002115,三维通信,2025-09-04,7,42,28,45.890464889499995,37.1478181185,46.53602709810001,11.45,10.31,10.648499999999999,10.653824249999998,900,9593.441824999998,75487.42807200008,2025-09-05,sell_drop7,2,11.05,11.044475000000002,9925.087472500001,101316.61651350009,331.6456475000032,331.6456475000032,0.03457003790190839
600330,天通股份,2025-09-09,91,27,16,33.53152717,52.47495108,35.63376817,11.6,10.71,10.787999999999998,10.793393999999997,900,9719.054599999998,91597.56191350009,2025-09-10,sell_t1_close,2,10.39,10.384805000000002,9331.978175500002,100929.54008900009,-387.0764244999955,-387.0764244999955,-0.03982655108244742
600103,青山纸业,2025-09-16,32,5,5,31.9790351,37.58939018,8.32632107,4.59,4.16,4.2687,4.2708343499999994,2300,9827.919004999998,91101.62108400009,2025-09-17,sell_t1_close,2,4.54,4.537730000000001,10421.342221000003,101522.96330500008,593.4232160000047,593.4232160000047,0.06038137022680976
002050,三花智控,2025-09-19,6,4,7,160.69807391959998,216.10523782200002,151.5166484898,45.55,41.0,42.36149999999999,42.38268074999999,200,8481.536149999998,93041.42715500008,2025-09-22,sell_t1_close,2,42.97,42.948515,8576.113297,75509.51045700008,94.57714700000179,94.57714700000179,0.01115094545697383
600410,华胜天成,2025-09-19,24,7,15,66.31086854,111.9299716,97.57136638,23.8,22.01,22.134,22.145066999999997,400,8863.0268,84178.40035500008,2025-09-22,sell_t1_close,2,21.34,21.329330000000002,8518.200268000002,84027.71072500008,-344.8265319999973,-344.8265319999973,-0.03890618180236094
000559,万向钱潮,2025-09-19,36,13,12,30.7670627363,50.0430611509,10.5134674126,11.52,10.37,10.7136,10.718956799999999,900,9652.061119999998,74526.33923500008,2025-09-22,sell_t1_close,2,10.02,10.014990000000001,8999.477509,93027.18823400009,-652.5836109999982,-652.5836109999982,-0.06761080383626894
601689,拓普集团,2025-09-19,106,66,67,76.21665441,99.54489126,78.72253212,81.55,74.0,75.8415,75.87942075,100,7592.942074999999,66933.39716000008,2025-09-22,sell_t1_close,2,76.33,76.291835,7616.554316500001,100643.74255050009,23.6122415000018,23.6122415000018,0.0031097618376078294
603618,杭电股份,2025-09-24,84,20,20,12.60618033,24.04976747,18.71077693,12.23,11.01,11.373899999999999,11.379586949999998,800,9108.669559999998,91535.07299050009,2025-09-25,sell_drop7,2,9.91,9.905045000000001,7911.111964000001,89539.17642450008,-1197.5575959999978,-1197.5575959999978,-0.13147448023133668
002131,利欧股份,2025-09-24,49,52,28,55.7948958107,53.0953207972,54.143057453599994,6.26,5.75,5.8218,5.8247108999999995,1700,9907.00853,81628.06446050009,2025-09-25,sell_t1_close,2,5.88,5.87706,9976.010998,99515.18742250008,69.00246800000059,69.00246800000059,0.006965015503019921
002549,凯美特气,2025-09-26,29,19,12,31.910105914899997,56.4928890465,60.887156014300004,27.55,24.8,25.621499999999997,25.634310749999997,300,7695.293224999999,91819.89419750008,2025-09-29,sell_t1_close,2,23.7,23.68815,7094.338554999999,90032.59665250007,-600.9546700000001,-600.9546700000001,-0.07809379739392583
002600,领益智造,2025-09-26,43,29,39,60.7942521392,87.6824572766,72.57039128859999,15.9,14.68,14.786999999999999,14.794393499999998,600,8881.6361,82938.25809750007,2025-09-30,sell_t1_close,3,16.29,16.281855,9754.343886999999,90209.31661950007,872.7077869999994,872.7077869999994,0.09825980001590015
002298,中电鑫龙,2025-09-29,60,9,5,32.225734358400004,48.2176834734,32.4649027514,12.86,11.8,11.9598,11.9657799,800,9577.62392,80454.97273250007,2025-10-09,sell_t1_close,3,13.41,13.403295000000002,10706.913364000002,100916.22998350007,1129.2894440000018,1129.2894440000018,0.11790914463051937
002050,三花智控,2025-10-10,27,33,4,131.7237650129,130.0900911303,114.1033597536,49.39,45.0,45.9327,45.955666349999994,200,9196.133269999998,91720.09671350007,2025-10-13,sell_t1_close,2,43.16,43.138419999999996,8614.056316,56271.57774450007,-582.0769539999983,-582.0769539999983,-0.06329583716439534
603799,华友钴业,2025-10-10,64,40,6,97.29587239,114.28158792,102.02113922,70.29,63.65,65.3697,65.40238484999999,100,6545.238484999999,85174.85822850007,2025-10-13,sell_t1_close,2,70.48,70.44476,7032.4315240000005,63304.00926850007,487.1930390000016,487.1930390000016,0.07443472688069695
000559,万向钱潮,2025-10-10,52,70,7,32.1080861892,42.7585188541,60.8556035644,13.03,11.73,12.117899999999999,12.123958949999999,800,9704.167159999999,75470.69106850008,2025-10-13,sell_t1_close,2,11.33,11.324335000000001,9045.408532000001,72349.41780050007,-658.7586279999978,-658.7586279999978,-0.06788409733040891
002074,国轩高科,2025-10-10,37,72,71,66.56013886390001,63.3103431212,56.09101472020001,49.3,44.37,45.849,45.87192449999999,200,9179.3849,66291.30616850007,2025-10-13,sell_t1_close,2,42.9,42.878550000000004,8562.134290000002,80911.55209050007,-617.2506099999973,-617.2506099999973,-0.06724313412328939
000977,浪潮信息,2025-10-10,46,74,63,100.12085060790001,120.01091533700001,78.62675848079999,75.96,69.04,70.6428,70.6781214,100,7072.812139999999,59218.49402850007,2025-10-13,sell_t1_close,2,70.48,70.44476,7032.4315240000005,87943.98361450007,-40.380615999998554,-40.380615999998554,-0.005709273086956125
002475,立讯精密,2025-10-10,50,87,33,162.5852477109,170.4650978628,148.8445317874,65.3,60.21,60.72899999999999,60.75936449999999,100,6080.936449999999,53137.55757850007,2025-10-13,sell_t1_close,2,57.75,57.721125,5761.3403875,93705.32400200007,-319.5960624999989,-319.5960624999989,-0.05255704694956957
300450,先导智能,2025-10-10,24,88,42,113.86942015,100.02713552,103.88220324,62.9,54.07,54.723,54.7503615,100,5480.03615,47657.52142850007,2025-10-13,sell_t1_close,2,56.0,55.972,5586.6028,99291.92680200006,106.56664999999975,106.56664999999975,0.019446340696128394
002460,赣锋锂业,2025-10-13,14,21,4,88.69140133239999,102.59701407899999,84.659882994,63.93,59.2,59.454899999999995,59.48462744999999,100,5953.462744999999,83638.94922200007,2025-10-14,sell_t1_close,2,68.52,68.48573999999999,6836.725426,66042.48165300007,883.2626810000011,883.2626810000011,0.1483611670773966
601138,工业富联,2025-10-13,79,54,45,107.76334666,124.0693835,152.52473527,66.41,61.0,61.76129999999999,61.792180649999985,100,6184.218064999998,77454.73115700007,2025-10-14,sell_t1_close,2,59.72,59.69014,5958.044986,72000.52663900006,-226.17307899999832,-226.17307899999832,-0.03657262351081056
600580,卧龙电驱,2025-10-13,108,65,42,46.24719533,63.93127992,90.64110944,47.85,44.0,44.500499999999995,44.522750249999994,200,8909.550049999998,68545.18110700007,2025-10-14,sell_t1_close,2,43.69,43.668155,8719.897369,80720.42400800006,-189.65268099999776,-189.65268099999776,-0.021286448803326245
603993,洛阳钼业,2025-10-13,68,76,12,68.11229444,77.23915351,66.21689414,16.72,15.51,15.549599999999998,15.557374799999998,600,9339.424879999999,59205.75622700007,2025-10-14,sell_drop7,2,16.01,16.001995,9586.595803,90307.01981100006,247.1709230000015,247.1709230000015,0.026465325882036702
000981,山子高科,2025-10-13,27,3,3,72.6925859107,121.2375965055,54.5055808223,4.53,4.16,4.2129,4.21500645,2300,9699.514835,89592.41196700007,2025-10-15,sell_t1_close,3,4.43,4.427785,10168.7215945,100475.74140550007,469.20675950000077,469.20675950000077,0.04837425041167028
601212,白银有色,2025-10-20,12,1,2,22.91693365,42.49198963,40.9003714,6.53,5.88,6.0729,6.0759364499999995,1600,9726.498319999999,90749.24308550007,2025-10-21,sell_t1_close,2,5.64,5.63718,9005.468512,99754.71159750008,-721.0298079999993,-721.0298079999993,-0.07413046137245408
601138,工业富联,2025-10-31,6,8,1,181.80679395,193.14782838,158.96272624,77.97,71.5,72.51209999999999,72.54835604999998,100,7259.835604999998,92494.87599250008,2025-11-03,sell_t1_close,2,74.89,74.85255500000001,7472.770244500001,99967.64623700008,212.93463950000296,212.93463950000296,0.029330504309677548
002407,多氟多,2025-11-03,41,4,11,56.957398216,76.6213332809,64.0815568464,28.4,25.95,26.411999999999995,26.425205999999996,300,7932.561799999999,92035.08443700009,2025-11-04,sell_t1_close,2,27.83,27.816085,8331.4806745,100366.56511150008,398.91887450000195,398.91887450000195,0.05028878243343809
601929,吉视传媒,2025-11-06,9,3,4,43.3492243,48.14963035,44.81722851,4.93,4.44,4.584899999999999,4.587192449999999,2100,9638.104144999998,90728.46096650008,2025-11-07,sell_t1_close,2,4.23,4.227885000000001,8864.6799415,90013.65605800008,-773.424203499997,-773.424203499997,-0.08024650822031527
603686,福龙马,2025-11-06,33,11,2,31.4638153,65.15956828,39.6561824,34.3,30.87,31.898999999999994,31.91494949999999,300,9579.484849999997,81148.97611650008,2025-11-07,sell_t1_close,2,31.9,31.884050000000002,9550.649785,99564.30584300008,-28.835064999997485,-28.835064999997485,-0.003010085140433986
000555,神州信息,2025-11-07,68,85,69,33.535828157,41.7817452208,47.2264846203,21.3,19.4,19.809,19.8189045,500,9914.452249999998,89649.85359300008,2025-11-10,sell_t1_close,2,19.05,19.040475,9505.7172625,99155.57085550007,-408.73498749999817,-408.73498749999817,-0.041226179439211905
