code,name,signal_date,entry_date,signal_rank,signal_close,entry_condition,buy_price,buy_exec,buy_shares,buy_cost,exit_date,exit_rank,exit_reason,sell_price,sell_exec,sell_proceed,hold_days,net_pnl,net_pnl_pct
000338,潍柴动力,2025-11-06,2025-11-26,10,18.03,gap_down_open,16.97,16.978485,19600,332878.1394918,2025-11-27,630,rank_drop_below_50,16.98,16.971510000000002,332209.1619252,2,-668.9775665999623,-0.002009677077687589
300062,中能电气,2025-11-05,2025-11-25,6,9.2,gap_down_open,8.26,8.26413,40300,333144.35233170004,2025-11-26,753,rank_drop_below_50,8.26,8.25587,332279.03597070003,2,-865.3163610000047,-0.002597421673048324
300591,万里马,2025-11-04,2025-11-25,5,12.31,gap_down_open,10.03,10.035015,33200,333262.44674939994,2025-11-26,410,rank_drop_below_50,10.23,10.224885,339024.8759634,2,5762.429214000062,0.01729096473426896
300444,双杰电气,2025-11-05,2025-11-25,4,9.89,gap_down_open,9.65,9.654825,34500,333191.38993875,2025-11-26,525,rank_drop_below_50,9.29,9.285355,319928.29932825,2,-13263.090610500018,-0.03980622252255122
601929,吉视传媒,2025-11-03,2025-11-24,10,4.07,gap_down_open,3.75,3.7518749999999996,88800,333266.4499499999,2025-11-25,246,rank_drop_below_50,3.94,3.9380300000000004,349242.4578168,2,15976.007866800064,0.047937642295517446
600667,太极实业,2025-11-03,2025-11-24,4,9.54,gap_down_open,7.67,7.6738349999999995,43400,333144.3523317,2025-11-25,672,rank_drop_below_50,7.9,7.896050000000001,342243.074859,2,9098.722527300008,0.027311651731801636
002611,东方精工,2025-11-03,2025-11-24,3,20.9,gap_down_open,17.29,17.298644999999997,19200,332233.6241951999,2025-11-25,489,rank_drop_below_50,17.35,17.341325,332520.600528,2,286.9763328000554,0.0008637787144369404
000777,中核科技,2025-11-03,2025-11-21,7,23.14,gap_down_open,21.01,21.020505,15800,332223.6161937,2025-11-24,1237,rank_drop_below_50,20.54,20.52973,323948.05334579997,2,-8275.56284790003,-0.024909616428577544
600635,大众公用,2025-10-31,2025-11-20,7,7.47,gap_down_open,6.74,6.74337,49400,333222.4147434,2025-11-24,143,rank_drop_below_50,6.96,6.95652,343205.3402856,3,9982.925542199984,0.02995874557204502
002402,和而泰,2025-10-31,2025-11-19,5,51.32,gap_down_open,51.25,51.275625,6500,333391.54996875,2025-11-24,60,rank_drop_below_50,46.98,46.95651,304820.53249049996,4,-28571.017478250025,-0.08569808527219148
603686,福龙马,2025-10-30,2025-11-19,10,28.13,gap_down_open,27.16,27.173579999999998,12200,331617.1313028,2025-11-21,131,rank_drop_below_50,25.37,25.357315000000003,308957.07598410005,3,-22660.055318699917,-0.06833198040667264
601012,隆基绿能,2025-10-29,2025-11-19,2,20.79,rise2_trigger,21.2058,21.2164029,15700,333197.454787659,2025-11-20,74,rank_drop_below_50,20.1,20.08995,315002.1791205,2,-18195.275667159003,-0.05460808720389097
600021,上海电力,2025-10-29,2025-11-18,7,30.14,gap_down_open,25.8,25.8129,12900,333086.305923,2025-11-19,241,rank_drop_below_50,25.32,25.30734,326040.28190819995,2,-7046.02401480003,-0.021153748711689364
300450,先导智能,2025-10-29,2025-11-18,5,62.75,gap_down_open,54.97,54.997485,6000,330083.90547299996,2025-11-19,305,rank_drop_below_50,50.89,50.864555,304790.58647100005,2,-25293.319001999917,-0.07662693812882326
300274,阳光电源,2025-10-29,2025-11-18,4,191.49,gap_down_open,183.69,183.78184499999998,1800,330906.56319629995,2025-11-19,146,rank_drop_below_50,176.5,176.41175,317128.346505,2,-13778.216691299924,-0.04163778608140337
002217,合力泰,2025-10-28,2025-11-17,10,3.36,gap_down_open,3.28,3.2816399999999994,101500,333186.38593799993,2025-11-18,622,rank_drop_below_50,3.24,3.2383800000000003,328268.26575900003,2,-4918.120178999903,-0.01476086775020597
603986,兆易创新,2025-10-27,2025-11-17,6,243.19,gap_down_open,207.81,207.913905,1600,332762.04667440004,2025-11-18,232,rank_drop_below_50,202.5,202.39875,323417.01060000004,2,-9345.036074400006,-0.028083238962476713
601138,工业富联,2025-10-27,2025-11-17,2,72.76,gap_down_open,64.39,64.422195,5100,328651.76045835,2025-11-18,96,rank_drop_below_50,64.72,64.68764,329478.0849468,2,826.3244884500164,0.0025142859034060655
300655,晶瑞电材,2025-10-27,2025-11-14,10,17.51,gap_down_open,15.9,15.90795,20900,332575.8978465,2025-11-17,470,rank_drop_below_50,15.81,15.802095000000001,329834.44257885,2,-2741.455267649959,-0.008243096644710178
300476,胜宏科技,2025-10-27,2025-11-14,3,340.32,gap_down_open,282.18,282.32108999999997,1100,310646.3649597,2025-11-17,287,rank_drop_below_50,281.18,281.03941000000003,308741.46464370005,2,-1904.9003159999265,-0.006132054100317731
600601,方正科技,2025-10-24,2025-11-13,8,11.72,gap_down_open,11.19,11.195594999999999,29700,332608.92425145,2025-11-14,387,rank_drop_below_50,10.81,10.804595,320479.30608705006,2,-12129.61816439993,-0.03646810797905718
